,Chores [Personal],Coding Personal Project,Cycling,Drawing,Handstand Practice,Journaling,Meditation,Personal Website,Photo Editing,Socializing [Personal],Work
2020-05-09,0.08916666666666666,2.2641666666666667,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,1.4022222222222223,0.0,0.0,0.0,0.0,6.561666666666667
2020-05-12,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.6958333333333333,0.0,4.192222222222222
2020-05-13,0.0,0.0,0.5,0.0,0.5302777777777778,0.0,0.0,0.0,0.0,0.0,3.333333333333333
2020-05-14,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4166666666666667,0.0,0.0
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0,0.0,0.30388888888888893,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,3.25,4.166666666666666
2020-05-19,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,4.583333333333333
2020-05-20,0.0,0.0,5.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
2020-05-21,0.0,0.0,0.0,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,0.0,0.0,0.0,0.0,0.4166666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,2.0833333333333335
2020-05-23,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,0.0,3.333333333333333,0.0,0.0,0.0,1.6666666666666667,0.4166666666666667,4.1925,0.0,0.75,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,3.333333333333333,0.0,0.0,0.0
